================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=gentleman_speaking, v=1, w=0, v*w=0
f=speaking_at, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=a_podium, v=1, w=-0.04243398147586548, v*w=-0.04243398147586548
f=podium, v=1, w=-0.05469714614254925, v*w=-0.05469714614254925
f=at_a, v=1, w=-0.08622086192337773, v*w=-0.08622086192337773
f=An_older, v=1, w=-0.11863484290830072, v*w=-0.11863484290830072
f=man, v=1, w=-0.14954275836407363, v*w=-0.14954275836407363
f=An, v=1, w=-0.19759144718748645, v*w=-0.19759144718748645
f=at, v=1, w=-0.26136614004677544, v*w=-0.26136614004677544
f=older, v=1, w=-0.289004757637854, v*w=-0.289004757637854
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=word_mismatch, v=7, w=-0.04797307969310231, v*w=-0.3358115578517162
f=a, v=2, w=-0.40085934414878244, v*w=-0.8017186882975649
================================================================================
P: A topless man with tattoos , black pants , and black boots is standing on a platform in front of a mirror .
H: a man is standing
label=1, predicted=1, correct
f=length_diff, v=19, w=0.2283268767017618, v*w=4.338210657333474
f=lexical_overlap, v=4, w=0.3830654707424352, v*w=1.5322618829697408
f=a_man, v=1, w=0.6479779320430809, v*w=0.6479779320430809
f=front_of, v=1, w=0.26027869344495036, v*w=0.26027869344495036
f=is_standing, v=2, w=0.12918474420386797, v*w=0.25836948840773594
f=pants_,, v=1, w=0.2507658876939453, v*w=0.2507658876939453
f=platform, v=1, w=0.2471321549304287, v*w=0.2471321549304287
f=of_a, v=1, w=0.2468873764455795, v*w=0.2468873764455795
f=and_black, v=1, w=0.24201273250867164, v*w=0.24201273250867164
f=man_with, v=1, w=0.21935247234075558, v*w=0.21935247234075558
f=in_front, v=1, w=0.2025982840106905, v*w=0.2025982840106905
f=on_a, v=1, w=0.1768242450195646, v*w=0.1768242450195646
f=,_and, v=1, w=0.17499667000079155, v*w=0.17499667000079155
f=boots, v=1, w=0.16641186041971462, v*w=0.16641186041971462
f=mirror, v=1, w=0.12393164078201545, v*w=0.12393164078201545
f=a_mirror, v=1, w=0.08170130846550852, v*w=0.08170130846550852
f=man_is, v=1, w=0.07446248811904224, v*w=0.07446248811904224
f=black_boots, v=1, w=0.05541798414948169, v*w=0.05541798414948169
f=with_tattoos, v=1, w=0.047118864835458386, v*w=0.047118864835458386
f=mirror_., v=1, w=0.04192948583422595, v*w=0.04192948583422595
f=boots_is, v=1, w=0.04148167072527876, v*w=0.04148167072527876
f=standing_on, v=1, w=0.03856882915524648, v*w=0.03856882915524648
f=tattoos_,, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=A_topless, v=1, w=-0.025083304579735573, v*w=-0.025083304579735573
f=topless_man, v=1, w=-0.025083304579735573, v*w=-0.025083304579735573
f=platform_in, v=1, w=-0.027667800352170566, v*w=-0.027667800352170566
f=,_black, v=1, w=-0.030431515572491307, v*w=-0.030431515572491307
f=a_platform, v=1, w=-0.05782464092524691, v*w=-0.05782464092524691
f=tattoos, v=1, w=-0.0657447810346382, v*w=-0.0657447810346382
f=topless, v=1, w=-0.10320902161222158, v*w=-0.10320902161222158
f=black_pants, v=1, w=-0.14771545764248672, v*w=-0.14771545764248672
f=standing, v=2, w=-0.07396091614144877, v*w=-0.14792183228289754
f=black, v=2, w=-0.0813984155623056, v*w=-0.1627968311246112
f=pants, v=1, w=-0.1926238625904829, v*w=-0.1926238625904829
f=front, v=1, w=-0.27291575349433383, v*w=-0.27291575349433383
f=on, v=1, w=-0.29811008903331604, v*w=-0.29811008903331604
f=man, v=2, w=-0.14954275836407363, v*w=-0.29908551672814726
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=with, v=1, w=-0.37578220266504436, v*w=-0.37578220266504436
f=of, v=1, w=-0.37790219820508486, v*w=-0.37790219820508486
f=and, v=1, w=-0.39896675096440504, v*w=-0.39896675096440504
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=word_mismatch, v=16, w=-0.04797307969310231, v*w=-0.767569275089637
f=is, v=2, w=-0.45493996500424116, v*w=-0.9098799300084823
f=a, v=3, w=-0.40085934414878244, v*w=-1.2025780324463473
================================================================================
P: The woman in the blue skirt is sleeping on a cardboard box under a picture of Mary and baby Jesus .
H: A person sleeping on a cardboard box below a picture of religious icons .
label=1, predicted=0, wrong
f=lexical_overlap, v=8, w=0.3830654707424352, v*w=3.0645237659394815
f=length_diff, v=7, w=0.2283268767017618, v*w=1.5982881369123325
f=picture, v=2, w=0.5838711776602771, v*w=1.1677423553205541
f=box, v=2, w=0.21726391345415352, v*w=0.43452782690830705
f=on_a, v=2, w=0.1768242450195646, v*w=0.3536484900391292
f=A_person, v=1, w=0.2984734473390282, v*w=0.2984734473390282
f=person, v=1, w=0.26421986580315804, v*w=0.26421986580315804
f=cardboard, v=2, w=0.12760485291870902, v*w=0.25520970583741803
f=a_cardboard, v=2, w=0.10869047713680775, v*w=0.2173809542736155
f=cardboard_box, v=2, w=0.050299363686949164, v*w=0.10059872737389833
f=baby, v=1, w=0.08427907102732198, v*w=0.08427907102732198
f=woman, v=1, w=0.03210373284279739, v*w=0.03210373284279739
f=and_baby, v=1, w=0.010144301192489498, v*w=0.010144301192489498
f=Jesus, v=1, w=0.0026429251696165413, v*w=0.0026429251696165413
f=Mary, v=1, w=0, v*w=0
f=icons, v=1, w=0, v*w=0
f=box_under, v=1, w=0, v*w=0
f=of_Mary, v=1, w=0, v*w=0
f=Mary_and, v=1, w=0, v*w=0
f=baby_Jesus, v=1, w=0, v*w=0
f=Jesus_., v=1, w=0, v*w=0
f=person_sleeping, v=1, w=0, v*w=0
f=box_below, v=1, w=0, v*w=0
f=of_religious, v=1, w=0, v*w=0
f=religious_icons, v=1, w=0, v*w=0
f=icons_., v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=is_sleeping, v=1, w=-0.010017043720797657, v*w=-0.010017043720797657
f=the_blue, v=1, w=-0.011666485817545647, v*w=-0.011666485817545647
f=in_the, v=1, w=-0.011687244813448, v*w=-0.011687244813448
f=woman_in, v=1, w=-0.017426125645422424, v*w=-0.017426125645422424
f=under_a, v=1, w=-0.01903916257287272, v*w=-0.01903916257287272
f=religious, v=1, w=-0.03136243351932849, v*w=-0.03136243351932849
f=skirt, v=1, w=-0.05260202993918087, v*w=-0.05260202993918087
f=sleeping, v=2, w=-0.027587003212028064, v*w=-0.05517400642405613
f=below_a, v=1, w=-0.058555990382517284, v*w=-0.058555990382517284
f=skirt_is, v=1, w=-0.06818414745821388, v*w=-0.06818414745821388
f=blue_skirt, v=1, w=-0.10693436316394136, v*w=-0.10693436316394136
f=The_woman, v=1, w=-0.11678314024375368, v*w=-0.11678314024375368
f=under, v=1, w=-0.12692976163386516, v*w=-0.12692976163386516
f=blue, v=1, w=-0.1464004062951875, v*w=-0.1464004062951875
f=below, v=1, w=-0.18283127422874204, v*w=-0.18283127422874204
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=picture_of, v=2, w=-0.17758585014784184, v*w=-0.3551717002956837
f=a_picture, v=2, w=-0.1945258236200475, v*w=-0.389051647240095
f=and, v=1, w=-0.39896675096440504, v*w=-0.39896675096440504
f=is, v=1, w=-0.45493996500424116, v*w=-0.45493996500424116
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=The, v=1, w=-0.5582273554905617, v*w=-0.5582273554905617
f=word_mismatch, v=12, w=-0.04797307969310231, v*w=-0.5756769563172277
f=on, v=2, w=-0.29811008903331604, v*w=-0.5962201780666321
f=the, v=1, w=-0.5978066899968455, v*w=-0.5978066899968455
f=sleeping_on, v=2, w=-0.3054323501392408, v*w=-0.6108647002784816
f=of, v=2, w=-0.37790219820508486, v*w=-0.7558043964101697
f=a, v=4, w=-0.40085934414878244, v*w=-1.6034373765951297
================================================================================
P: A man in a red shirt plays his guitar while looking down .
H: A man practicing a song he wrote
label=0, predicted=0, correct
f=length_diff, v=6, w=0.2283268767017618, v*w=1.3699612602105709
f=lexical_overlap, v=3, w=0.3830654707424352, v*w=1.1491964122273055
f=A_man, v=2, w=0.324577417131331, v*w=0.649154834262662
f=down_., v=1, w=0.5800145917260484, v*w=0.5800145917260484
f=man_in, v=1, w=0.2580405470472171, v*w=0.2580405470472171
f=in_a, v=1, w=0.21910880076345068, v*w=0.21910880076345068
f=while_looking, v=1, w=0.17917263537473763, v*w=0.17917263537473763
f=looking_down, v=1, w=0.13767909116683008, v*w=0.13767909116683008
f=man_practicing, v=1, w=0.13385256746876498, v*w=0.13385256746876498
f=a_red, v=1, w=0.1095376580677897, v*w=0.1095376580677897
f=a_song, v=1, w=0.10405154828142839, v*w=0.10405154828142839
f=guitar, v=1, w=0.09009894913652308, v*w=0.09009894913652308
f=looking, v=1, w=0.0664856501523809, v*w=0.0664856501523809
f=his_guitar, v=1, w=0.02242441849048435, v*w=0.02242441849048435
f=guitar_while, v=1, w=0.006886643135778865, v*w=0.006886643135778865
f=song_he, v=1, w=0, v*w=0
f=he_wrote, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=down, v=1, w=-0.004748635802573506, v*w=-0.004748635802573506
f=wrote, v=1, w=-0.006201797286057588, v*w=-0.006201797286057588
f=plays_his, v=1, w=-0.01424073524824956, v*w=-0.01424073524824956
f=red_shirt, v=1, w=-0.03760414439446426, v*w=-0.03760414439446426
f=practicing_a, v=1, w=-0.0989702913840628, v*w=-0.0989702913840628
f=shirt_plays, v=1, w=-0.11000921277695112, v*w=-0.11000921277695112
f=shirt, v=1, w=-0.13738619608867372, v*w=-0.13738619608867372
f=red, v=1, w=-0.18428774132984588, v*w=-0.18428774132984588
f=plays, v=1, w=-0.2590967034941965, v*w=-0.2590967034941965
f=song, v=1, w=-0.26403069539272955, v*w=-0.26403069539272955
f=man, v=2, w=-0.14954275836407363, v*w=-0.29908551672814726
f=while, v=1, w=-0.31090945168669804, v*w=-0.31090945168669804
f=he, v=1, w=-0.4490283131719311, v*w=-0.4490283131719311
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=word_mismatch, v=10, w=-0.04797307969310231, v*w=-0.47973079693102316
f=A, v=2, w=-0.3083650202568235, v*w=-0.616730040513647
f=practicing, v=1, w=-0.6188653551919159, v*w=-0.6188653551919159
f=his, v=1, w=-0.6983216445175804, v*w=-0.6983216445175804
f=a, v=2, w=-0.40085934414878244, v*w=-0.8017186882975649
================================================================================
P: A busy street full of shops and people holding hands and walking .
H: Couples looking for places to shop .
label=0, predicted=0, correct
f=length_diff, v=6, w=0.2283268767017618, v*w=1.3699612602105709
f=lexical_overlap, v=1, w=0.3830654707424352, v*w=0.3830654707424352
f=walking_., v=1, w=0.33038227367773826, v*w=0.33038227367773826
f=and_walking, v=1, w=0.23085609265562276, v*w=0.23085609265562276
f=busy, v=1, w=0.13692059367280532, v*w=0.13692059367280532
f=busy_street, v=1, w=0.08571845717611859, v*w=0.08571845717611859
f=looking, v=1, w=0.0664856501523809, v*w=0.0664856501523809
f=people_holding, v=1, w=0.027492404031260527, v*w=0.027492404031260527
f=shops, v=1, w=0.009305992823342402, v*w=0.009305992823342402
f=hands, v=1, w=0.004907461835673959, v*w=0.004907461835673959
f=A_busy, v=1, w=0, v*w=0
f=of_shops, v=1, w=0, v*w=0
f=shops_and, v=1, w=0, v*w=0
f=Couples_looking, v=1, w=0, v*w=0
f=for_places, v=1, w=0, v*w=0
f=places_to, v=1, w=0, v*w=0
f=to_shop, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=full, v=1, w=-0.004715668630301508, v*w=-0.004715668630301508
f=holding, v=1, w=-0.02540811413669447, v*w=-0.02540811413669447
f=people, v=1, w=-0.027486497905934534, v*w=-0.027486497905934534
f=street_full, v=1, w=-0.03579320072943709, v*w=-0.03579320072943709
f=walking, v=1, w=-0.03633671982483617, v*w=-0.03633671982483617
f=and_people, v=1, w=-0.04568317207241739, v*w=-0.04568317207241739
f=Couples, v=1, w=-0.0460769406304703, v*w=-0.0460769406304703
f=shop_., v=1, w=-0.1514187260104459, v*w=-0.1514187260104459
f=hands_and, v=1, w=-0.15812513395910557, v*w=-0.15812513395910557
f=full_of, v=1, w=-0.15939548777702026, v*w=-0.15939548777702026
f=street, v=1, w=-0.1740767558473877, v*w=-0.1740767558473877
f=places, v=1, w=-0.18121064096351838, v*w=-0.18121064096351838
f=shop, v=1, w=-0.18760745140334678, v*w=-0.18760745140334678
f=holding_hands, v=1, w=-0.2618030441504806, v*w=-0.2618030441504806
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=of, v=1, w=-0.37790219820508486, v*w=-0.37790219820508486
f=looking_for, v=1, w=-0.43864299604236795, v*w=-0.43864299604236795
f=word_mismatch, v=11, w=-0.04797307969310231, v*w=-0.5277038766241254
f=and, v=2, w=-0.39896675096440504, v*w=-0.7979335019288101
f=to, v=1, w=-0.8016492569411924, v*w=-0.8016492569411924
f=for, v=1, w=-0.9938963055631672, v*w=-0.9938963055631672
================================================================================
P: A cabin shot of a very crowded airplane
H: The airplane is quite crowded .
label=1, predicted=0, wrong
f=lexical_overlap, v=2, w=0.3830654707424352, v*w=0.7661309414848704
f=airplane, v=2, w=0.2720126567278457, v*w=0.5440253134556914
f=length_diff, v=2, w=0.2283268767017618, v*w=0.4566537534035236
f=of_a, v=1, w=0.2468873764455795, v*w=0.2468873764455795
f=crowded, v=2, w=0.045252134855443375, v*w=0.09050426971088675
f=shot, v=1, w=0.07738975173289214, v*w=0.07738975173289214
f=The_airplane, v=1, w=0.04797087158583058, v*w=0.04797087158583058
f=airplane_is, v=1, w=0.03432533786542867, v*w=0.03432533786542867
f=shot_of, v=1, w=0.010036261158472597, v*w=0.010036261158472597
f=crowded_., v=1, w=0.006641267828624334, v*w=0.006641267828624334
f=A_cabin, v=1, w=0, v*w=0
f=cabin_shot, v=1, w=0, v*w=0
f=very_crowded, v=1, w=0, v*w=0
f=crowded_airplane, v=1, w=0, v*w=0
f=quite_crowded, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=a_very, v=1, w=-0.0607921087640225, v*w=-0.0607921087640225
f=quite, v=1, w=-0.0663557089120608, v*w=-0.0663557089120608
f=is_quite, v=1, w=-0.0663557089120608, v*w=-0.0663557089120608
f=cabin, v=1, w=-0.07721362676313627, v*w=-0.07721362676313627
f=word_mismatch, v=6, w=-0.04797307969310231, v*w=-0.28783847815861385
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=of, v=1, w=-0.37790219820508486, v*w=-0.37790219820508486
f=a, v=1, w=-0.40085934414878244, v*w=-0.40085934414878244
f=very, v=1, w=-0.4496106560764237, v*w=-0.4496106560764237
f=is, v=1, w=-0.45493996500424116, v*w=-0.45493996500424116
f=The, v=1, w=-0.5582273554905617, v*w=-0.5582273554905617
================================================================================
P: A building that portrays beautiful architecture stands in the sunlight as somebody on a bike passes by .
H: A bicyclist passes an esthetically beautiful building on a sunny day
label=1, predicted=0, wrong
f=lexical_overlap, v=6, w=0.3830654707424352, v*w=2.298392824454611
f=length_diff, v=7, w=0.2283268767017618, v*w=1.5982881369123325
f=on_a, v=2, w=0.1768242450195646, v*w=0.3536484900391292
f=beautiful, v=2, w=0.12725616657672176, v*w=0.2545123331534435
f=passes, v=2, w=0.06324823063474955, v*w=0.1264964612694991
f=the_sunlight, v=1, w=0.09772749351196633, v*w=0.09772749351196633
f=passes_by, v=1, w=0.09177054748712407, v*w=0.09177054748712407
f=a_bike, v=1, w=0.08665050612952593, v*w=0.08665050612952593
f=stands, v=1, w=0.07908309374210855, v*w=0.07908309374210855
f=sunny_day, v=1, w=0.07240280536847256, v*w=0.07240280536847256
f=bike, v=1, w=0.054349276036762845, v*w=0.054349276036762845
f=architecture, v=1, w=0.018569430624363024, v*w=0.018569430624363024
f=by_., v=1, w=0.004108664651063981, v*w=0.004108664651063981
f=portrays, v=1, w=0, v*w=0
f=esthetically, v=1, w=0, v*w=0
f=building_that, v=1, w=0, v*w=0
f=that_portrays, v=1, w=0, v*w=0
f=portrays_beautiful, v=1, w=0, v*w=0
f=beautiful_architecture, v=1, w=0, v*w=0
f=architecture_stands, v=1, w=0, v*w=0
f=sunlight_as, v=1, w=0, v*w=0
f=as_somebody, v=1, w=0, v*w=0
f=somebody_on, v=1, w=0, v*w=0
f=bike_passes, v=1, w=0, v*w=0
f=bicyclist_passes, v=1, w=0, v*w=0
f=passes_an, v=1, w=0, v*w=0
f=an_esthetically, v=1, w=0, v*w=0
f=esthetically_beautiful, v=1, w=0, v*w=0
f=beautiful_building, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=in_the, v=1, w=-0.011687244813448, v*w=-0.011687244813448
f=building_on, v=1, w=-0.01408152582583474, v*w=-0.01408152582583474
f=sunlight, v=1, w=-0.015542878902133022, v*w=-0.015542878902133022
f=A_building, v=1, w=-0.027510246727395785, v*w=-0.027510246727395785
f=somebody, v=1, w=-0.03281599836899413, v*w=-0.03281599836899413
f=by, v=1, w=-0.03680490819868031, v*w=-0.03680490819868031
f=bicyclist, v=1, w=-0.062145539624483014, v*w=-0.062145539624483014
f=A_bicyclist, v=1, w=-0.13702343998774236, v*w=-0.13702343998774236
f=sunny, v=1, w=-0.16434869728073614, v*w=-0.16434869728073614
f=a_sunny, v=1, w=-0.20022812282498295, v*w=-0.20022812282498295
f=an, v=1, w=-0.32472737342345664, v*w=-0.32472737342345664
f=as, v=1, w=-0.39907712565717507, v*w=-0.39907712565717507
f=stands_in, v=1, w=-0.4023492642275995, v*w=-0.4023492642275995
f=day, v=1, w=-0.44722266953277673, v*w=-0.44722266953277673
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=building, v=2, w=-0.2609975899577166, v*w=-0.5219951799154332
f=word_mismatch, v=12, w=-0.04797307969310231, v*w=-0.5756769563172277
f=on, v=2, w=-0.29811008903331604, v*w=-0.5962201780666321
f=the, v=1, w=-0.5978066899968455, v*w=-0.5978066899968455
f=A, v=2, w=-0.3083650202568235, v*w=-0.616730040513647
f=that, v=1, w=-0.7593264555878456, v*w=-0.7593264555878456
f=a, v=2, w=-0.40085934414878244, v*w=-0.8017186882975649
================================================================================
P: A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling .
H: A woman with red-hair and wearing a black tank top screams at her son who is crossing the road without looking both ways .
label=0, predicted=0, correct
f=lexical_overlap, v=11, w=0.3830654707424352, v*w=4.2137201781667875
f=length_diff, v=5, w=0.2283268767017618, v*w=1.141634383508809
f=wearing_a, v=2, w=0.28866640420799555, v*w=0.5773328084159911
f=A_woman, v=2, w=0.16821192338671, v*w=0.33642384677342
f=at_her, v=1, w=0.29544215375168653, v*w=0.29544215375168653
f=the_road, v=1, w=0.19761973788813875, v*w=0.19761973788813875
f=red-hair_and, v=2, w=0.09751377275149682, v*w=0.19502754550299364
f=top, v=2, w=0.09327178574809064, v*w=0.18654357149618128
f=black_tank, v=2, w=0.08376160821692466, v*w=0.16752321643384932
f=yelling, v=1, w=0.12779295087894144, v*w=0.12779295087894144
f=red-hair, v=2, w=0.05906630473975511, v*w=0.11813260947951022
f=crossing, v=1, w=0.11669476003144696, v*w=0.11669476003144696
f=short, v=1, w=0.07353092412217986, v*w=0.07353092412217986
f=crossing_the, v=1, w=0.07052231596876146, v*w=0.07052231596876146
f=with_red-hair, v=2, w=0.034773000422653084, v*w=0.06954600084530617
f=looking, v=1, w=0.0664856501523809, v*w=0.0664856501523809
f=woman, v=2, w=0.03210373284279739, v*w=0.06420746568559478
f=appears_to, v=1, w=0.05553701994830322, v*w=0.05553701994830322
f=is_crossing, v=1, w=0.05357472813012694, v*w=0.05357472813012694
f=appears, v=1, w=0.05085641404358685, v*w=0.05085641404358685
f=woman_with, v=2, w=0.013409450920588907, v*w=0.026818901841177814
f=jeans, v=1, w=0.022939537752417707, v*w=0.022939537752417707
f=road, v=1, w=0.013575345049473275, v*w=0.013575345049473275
f=yelling_., v=1, w=0.006489462584799328, v*w=0.006489462584799328
f=her_son, v=1, w=0.004398299152268159, v*w=0.004398299152268159
f=and_short, v=1, w=0.0007748477386129594, v*w=0.0007748477386129594
f=ways, v=1, w=0, v*w=0
f=short_jeans, v=1, w=0, v*w=0
f=jeans_shorts, v=1, w=0, v*w=0
f=shorts_appears, v=1, w=0, v*w=0
f=be_yelling, v=1, w=0, v*w=0
f=top_screams, v=1, w=0, v*w=0
f=screams_at, v=1, w=0, v*w=0
f=son_who, v=1, w=0, v*w=0
f=road_without, v=1, w=0, v*w=0
f=without_looking, v=1, w=0, v*w=0
f=looking_both, v=1, w=0, v*w=0
f=both_ways, v=1, w=0, v*w=0
f=ways_., v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=screams, v=1, w=-0.02493110338776485, v*w=-0.02493110338776485
f=top_and, v=1, w=-0.044858533011624, v*w=-0.044858533011624
f=to_be, v=1, w=-0.08079943213110946, v*w=-0.08079943213110946
f=who_is, v=1, w=-0.09777919275517034, v*w=-0.09777919275517034
f=be, v=1, w=-0.11306519361996191, v*w=-0.11306519361996191
f=black, v=2, w=-0.0813984155623056, v*w=-0.1627968311246112
f=without, v=1, w=-0.18482761198352082, v*w=-0.18482761198352082
f=both, v=1, w=-0.2322764001705694, v*w=-0.2322764001705694
f=at, v=1, w=-0.26136614004677544, v*w=-0.26136614004677544
f=tank_top, v=2, w=-0.14259338967019222, v*w=-0.28518677934038444
f=who, v=1, w=-0.30670052743170495, v*w=-0.30670052743170495
f=son, v=1, w=-0.3111546810246403, v*w=-0.3111546810246403
f=a_black, v=2, w=-0.15698194960484346, v*w=-0.3139638992096869
f=tank, v=2, w=-0.163195982117449, v*w=-0.326391964234898
f=word_mismatch, v=7, w=-0.04797307969310231, v*w=-0.3358115578517162
f=her, v=1, w=-0.4323918021272653, v*w=-0.4323918021272653
f=shorts, v=1, w=-0.44978194559412915, v*w=-0.44978194559412915
f=is, v=1, w=-0.45493996500424116, v*w=-0.45493996500424116
f=and_wearing, v=2, w=-0.29560510494891473, v*w=-0.5912102098978295
f=the, v=1, w=-0.5978066899968455, v*w=-0.5978066899968455
f=A, v=2, w=-0.3083650202568235, v*w=-0.616730040513647
f=wearing, v=2, w=-0.30951804432226004, v*w=-0.6190360886445201
f=with, v=2, w=-0.37578220266504436, v*w=-0.7515644053300887
f=to, v=1, w=-0.8016492569411924, v*w=-0.8016492569411924
f=a, v=2, w=-0.40085934414878244, v*w=-0.8017186882975649
f=and, v=3, w=-0.39896675096440504, v*w=-1.196900252893215
================================================================================
P: Two men sitting on a subway are reading , with coats and scarves on , but have seemed to have lost their pants .
H: There are people on the subway .
label=1, predicted=1, correct
f=length_diff, v=17, w=0.2283268767017618, v*w=3.8815569039299507
f=lexical_overlap, v=4, w=0.3830654707424352, v*w=1.5322618829697408
f=There, v=1, w=1.105723604985595, v*w=1.105723604985595
f=There_are, v=1, w=0.5370618241634841, v*w=0.5370618241634841
f=are_people, v=1, w=0.3133755573009265, v*w=0.3133755573009265
f=on_the, v=1, w=0.2665158312004819, v*w=0.2665158312004819
f=a_subway, v=1, w=0.2243755208694778, v*w=0.2243755208694778
f=on_a, v=1, w=0.1768242450195646, v*w=0.1768242450195646
f=scarves, v=1, w=0.16246395089395255, v*w=0.16246395089395255
f=to_have, v=1, w=0.11564344202534636, v*w=0.11564344202534636
f=reading_,, v=1, w=0.1061067227028722, v*w=0.1061067227028722
f=coats, v=1, w=0.10048706754062313, v*w=0.10048706754062313
f=on_,, v=1, w=0.08567139970728745, v*w=0.08567139970728745
f=coats_and, v=1, w=0.07150155481162339, v*w=0.07150155481162339
f=Two_men, v=1, w=0.06374659468783658, v*w=0.06374659468783658
f=subway, v=2, w=0.02502211951417992, v*w=0.05004423902835984
f=subway_., v=1, w=0.044057795557199256, v*w=0.044057795557199256
f=and_scarves, v=1, w=0.02631613196802366, v*w=0.02631613196802366
f=are_reading, v=1, w=0.014108002008241294, v*w=0.014108002008241294
f=sitting, v=1, w=0.010350184963124877, v*w=0.010350184963124877
f=scarves_on, v=1, w=0.004980807274696572, v*w=0.004980807274696572
f=with_coats, v=1, w=0, v*w=0
f=but_have, v=1, w=0, v*w=0
f=have_seemed, v=1, w=0, v*w=0
f=seemed_to, v=1, w=0, v*w=0
f=have_lost, v=1, w=0, v*w=0
f=lost_their, v=1, w=0, v*w=0
f=their_pants, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=men_sitting, v=1, w=-0.02334934823375713, v*w=-0.02334934823375713
f=people, v=1, w=-0.027486497905934534, v*w=-0.027486497905934534
